"Title","Artist","ReviewBody","AlbumRating","AlbumFeelingRating","SongAvg","AlbumArt","Blurb","NextUpText","DatePosted","Listen1","Listen2","Listen3"
"Amalgamation","Trapt","Oh _Trapt_, memories of an angsty-er youth. This is not the album with _Headstrong_ on it, it is however their first album. You can definitely see their Nu Metal roots here, before they moved to a more hard rock sound. There is actually quite a bit to like here, if you can get past the angry grunts. A bunch of the tracks, like _Can This Be_ actaully have quite a bit of introspection to them. Overall this album isn't pushing any boundaries, it's also not super derivative, so its a totally fine listen if you want to be mad.","3","3","3","\\OPENMEDIAVAULT\Media\Music\Trapt\Amalgamation\Cover.jpg","I don't think this is the album with Headstrong","NEXT UP:  Ambient by Moby  I wonder if this is his ambient album?","2021-04-12T10:00:21.400895","","","2021-04-03"
"Ambient","Moby","This Moby album really fell flat for me. I gave the album a feeling rating of `3` because I do like what is going on, but being an ambient album I can't really listen to it all the time so while I normally round up I will round down in this case. Its one of those albums that you really have to be in the mood for, you can't just listen to it whenever you want. If I could get through this album a third time I think I'd have more to say. I do want to stress that I like the album, just not this many times in row.","2","3","2","\\OPENMEDIAVAULT\Media\Music\Moby\Ambient\Cover.jpg","I wonder if this is his ambient album?","NEXT UP:  Amnesiac by Radiohead  More Radiohead that I haven't listened too lol","2021-04-16T10:00:18.412888","","","2021-04-10"
"Amnesiac","Radiohead","I have never really listened to _Radiohead_ before this album rating endeavor started. Sure I had listened to the singles, but whenever songs would pop up in shuffle I would invariably skip them. I think I might have figured out my issue, I wasn't sitting down and listening to the full album, or maybe I just hadn't listened to this one. The previous _Radiohead_ ep _Airbag..._ didn't do them any favors in my book eiher. But when I started this album up with _Packt..._ that all changed. It's really moody, got this electronic bent to it, its really interesting. _Pyramid Song_ flips the script, it has this orchestral quality to it and slows the pace way down. _Pulk/Pull Revolving Doors_ has a very hard electronic bent to it, the use of the sub bass really makes all the drum hits feel very punchy. _You and Whose Army?_ is what I think of when I think radiohead, but this track is something different. It starts out very mellow and simple, but when the full band hits, it almost brought a tear to my eye. _Knives Out_ is probably my favorite track off the album. The richness of the soundscapes in some of these songs are absolutely mind blowing. The use of echo and and many layers on _Dollars & Cents_ continue the haunting aesthetic of the rest of the album. The final track on the album, _Life in a Glasshouse_, has a very 20's noir jazz vibe to it. Overall the album is fantastic, and it has defintiely given me a new look on Radiohead; very excited to listen to more of their stuff","4","4","4.2","\\OPENMEDIAVAULT\Media\Music\Radiohead\Amnesiac\Cover.jpg","More Radiohead that I haven't listened too lol","NEXT UP:  Afraid of Heights by Wavves  Can't believe I didn't own this album, really excited to listen to it again","2021-04-19T10:00:19.306327","","","2021-04-10"
"Afraid of Heights","Wavves","I remember when this album first came out, I was a little wary on it. The singles were pretty different to the last album, _King of the Beach_ that I really liked. After listening to this album, idk thousands of times at this point, I can confidently say this album is fantastic. I think it's better than _King of the Beach_ overall. The album starts with the track _Sail to the Sun_, which I think makes a great intro. Got a nice slow build up into this really catchy 'surf' riff. _Demon to Lean On_ was their big single off this album and I'll be the first to admit it is very 'Nirvana' inspired'; at least the main riff is. When it slips into the chorus it becomes a lot more Wavves like. The next track, _Mystic_, is a bit more mellow, feels more like a transitionary track than anything else. _Lunge Forward_ is a pretty standard punk song, with that classic Wavves jangle to it. _Dog_ slows the pace down again, have to include the one slow song on the album. The titular track, _Afraid of Heights_, is up next. It's got this whiny quality to it, almost bratty in a way. It sounds like a negative but I actually think it works quite well for for that 2010s punk scene. The album takes a bit of a dip, the tracks _Paranoid_, _Cop_, and _Beat Me Up_ all don't quite hit as well as the first and half of the album. For me the album picks up after this little block. After that bit of a break the album really starts picking up again. _That's on Me_ is another one of those grungy tracks that this album seems to be imitating. That's actually one of the complaints for this album, is that it sounds a little too grungy or that it feels too commercial. I think it makes for an interesting take, you can definitely see the style shifts between the grunge sound and the, at the time, modern/surf punk sound. I know that grunge sound is pretty much the only reason that KROQ was playing anything off this album. Overall I think this album is really solid, although that might just be nostalgia talking. There are a few dips that as singular tracks I could do without, but as a whole I think this album is definitely one of their best.","5","5","4.4","\\OPENMEDIAVAULT\Media\Music\Wavves\Afraid of Heights\Cover.jpg","Can't believe I didn't own this album, really excited to listen to it again","NEXT UP:  amo by Bring Me The Horizon  OH FUCK YEAH, GET HYPE Luis! Finally some recent-ish music as well","2021-04-23T10:00:21.129315","2021-03-30","2021-03-31","2021-04-17"
"amo","Bring Me The Horizon","Now this is an album. I remember when it first crossed my radar, I was not expecting that huge shift in style from their previous albums. Although the album before this one did use some of the same electronic stylings, just not quite to the degree of _amo_. The first track _i apologise if you feel something_ I think works as a great intro to the album. It has this great mystique that really pulls you in. Also lets you know upfront to expect some electronic production. _MANTRA_ is up next. First time I heard this track was at SGDQ 2019 at Pat's House on vinyl. This is the song that really sold me on the entire album. Next up is the track with Grimes, _nihilist blues_. The song almost has this club-like feel to it, liek you should be trapped in a hot, wet basement moshing to this song. _in the dark_ has a nice riff running through the majority of the song, for me it doesn't really work in the album. _ouch_ is a really cool song, its got some heavy dub vibes. Really reminds me of some _Nero_ tracks, fuck that is an artist I haven't thought about in years. _sugar honey ice & tea_ is another classic banger on this album. _why you gotta kick me when i'm down?_ has some fucking great production quality to it. In some parts it really nails that big soundstage sound. _mother tongue_ might just be my favorite track on the album, When the chorus hits, it hits good. Overall I think the album is fucking great, definitely one of my favorites from _Bring Me The Horizon_.","5","4.6","5","\\OPENMEDIAVAULT\Media\Music\Bring Me the Horizon\amo\Cover.jpg","OH FUCK YEAH, GET HYPE Luis! Finally some recent-ish music as well","NEXT UP:  Amplified: A Decade of Reinventing the Cello by Apocalyptica  There is a lot of metal covers here","2021-04-26T10:00:19.183830","2021-02-04","2021-02-05","2021-04-17"
"Amplified: A Decade of Reinventing the Cello","Apocalyptica","Hey remember when that neoclassical cover of _Enter Sandman_ came out? and how it was only popular for like a month or so. Well 2009 me thought that song rocked and got the whole album it came on. After listening through the album a few times, while not bad, it just makes me want to listen to the actual Metalica songs they are covering. They do have a cover of _Hall of the Mountain King_ which is really good, definitely a classical song that works quite well in the metal genre. This album is essentially a ""best of"" of Apocalyptica's previous works. Broken up into 2 discs, the first is all instrumental and basically all of the covers, disc 2 is all of their featured vocalist tracks. Unsurprisingly I prefer the instrumental tracks over the voiced tracks. Overall this album is fine, just not something I forsee myself really going back to that often.","3","3","3","\\OPENMEDIAVAULT\Media\Music\Apocalyptica\Amplified_ A Decade of Reinventing the Cello\Cover.jpg","There is a lot of metal covers here","NEXT UP:  An American Prayer by The Doors  I Think this is a spoken word album... ooof","2021-04-30T10:00:20.343405","2021-02-05","2021-02-07","2021-04-24"
"An American Prayer","The Doors","This album is an interesting mix of Jim Morrison's spoken word poetry backed by some of The Doors' popular tracks. There is some really interesting sounds on this album, but for the most part I just find it to be a bit boring inbetween the interesting bits. The standout track for me on this album is _The Hitchhiker_, but that is mainly because it is backed by my favorite Doors track, _Riders on the Storm_. Overall this album is probably really cool for some people, but for me its a pass.","2","2","2","\\OPENMEDIAVAULT\Media\Music\Doors, The\An American Prayer\Cover.jpg","I Think this is a spoken word album... ooof","NEXT UP:  Amputechture by The Mars Volta  The Album before Bedlam, probably their best album","2021-05-03T10:28:09.859072","2021-02-08","2021-02-09","2021-04-24"
"Amputechture","The Mars Volta","Man what a band, Discovered them from that fucking movie, _Get him to the Greek_. Who knew I would have fallen in love with them. The Album opens up with this mysterious, slow solo. The guitar work is just impeccable. The whole track gives me this ""sitting in a dark smokey room"" vibe that I really dig. You really get that feeling when the piano kicks in close to runtime. One thing I have always found a bit strange is the drastic shift between _Vicarious Atonement_ and _Tratragrammaton_. _Tetragrammaton_ basically starts in a full on solo. But just in general, what a ride this song is, basically an ep within the larger album, sitting at sixteen minutes. _Vermicide_ is the shortest track on the album, sitting at 4:15 and acts as a really nice palatte cleanser between Tetra and Mecca. _Asilos Magdalena_ is what really introduced me to the flamenco style of guitar, I've always wanted to learn but never got around to it. Despite the entire song being in spanish, and me not speaking a lick, I think this song might be one of my favorites on the album. When the full band kicks in during _Viscera Eyes_ is really something cool to hear, then it breaks into an almost Blue Oyster Cult like breakdown. Overall this album is fucking fantastic, and if you want to go on a wild ride then I suggest you give it a listen.","5","5","4.6","\\OPENMEDIAVAULT\Media\Music\Mars Volta, The\Amputechture\Cover.jpg","The Album before Bedlam, probably their best album","NEXT UP:  An Odd Entrances by Thee Oh Sees  The first half of a two part ep, the other half was _A Weird Exits_","2021-05-07T10:00:22.414684","","","2021-05-01"
"An Odd Entrances","Thee Oh Sees","This album is actually the first half of a two part album series, the first being the previously review _A Weird Exits_. This album came out towards the end of the bands _Thee Oh Sees_ phase; for those unaware this band changes their name every couple of years, but only slightly. Typically when the band changes their name, they are indicating they are doing another slight style shift. Although by the time this album rolled around they had already begun shifting towards a more progressive styling. Most of the _Thee Oh Sees_ phase of the band was more garage rock/punk focused and definitely more upbeat moshpit kind of tunes. That's enough about the band in general, let's get to the actual album. I find this album to be a bit more chill than the follow up album. And with that in mind it makes a bit of sense, this is the buildup to some of the awesome payoffs in _Exits_. But taken as an individual album, for me it falls a little flat. Typically I really their jam tracks, but _Jammed Exit_ is on the short side. While the song is really interesting I don't find myself drawn to it. The use of flute in the track is appreciated though. Overall the album is pretty good, just not as good as some of their other albums or even the followup album.","3","2.8","3","\\OPENMEDIAVAULT\Media\Music\Thee Oh Sees\An Odd Entrances\Cover.jpg","The first half of a two part ep, the other half was _A Weird Exits_","NEXT UP:  Ancient Artifact ARGOS-CCCIII by Rotteen  We got a whole lot of fusion going on here, Am Excite","2021-05-10T10:00:21.677030","2021-02-09","2021-02-10","2021-04-24"
"Ancient Artifact ARGOS-CCCIII","Rotteen","Ah some more Rotteen. This is the kind of album you throw on when you just need background music, not a bad thing but not super analytical either. Beign rave the songs blend really well together, but there are a few standouts. _White Nuxxle Driver_ and _Arc_ are the two I particularily like on this album. There is some really interesting sounds on the other tracks. Like _Errorblasterz_ has an almost liquid quality to it as well. Overall I don't have too much to say other than its a fun album, but not world shattering.","3","3","3.1","\\OPENMEDIAVAULT\Media\Music\Rotteen\Ancient Artifact ARGOS-CCCIII\Cover.jpg","We got a whole lot of fusion going on here, Am Excite","NEXT UP:  And So I Watch You From Afar by And So I Watch You From Afar  The First album from ASIWYFA","2021-05-14T10:00:19.021990","","","2021-05-01"
"And So I Watch You From Afar","And So I Watch You From Afar","The first album from _And So I Watch You From Afar_. From listening to all of their albums; they each feature a distinct yet similar soundscape. This album has an almost absurdist take on darker topics. Like you are meant to be seeing some irony in a seemingly bleak outlook. This album features no vocals, unlike some of their other albums which might feature chants or other phrases. Tracks like _Clench Fists, Grit Teeth...Go!_ really remind me of the feeling of listening to edgier music as a kid, but then its actually good so I'm not embarrased to be caught listening to this. This album definitely has an almost djent feel to it, more so than some of their other albums. Overall this album is great and definitely worth a listen even if you don't listen to much math rock.","4","4","4","\\OPENMEDIAVAULT\Media\Music\And So I Watch You From Afar\And So I Watch You From Afar\Cover.jpg","The First album from ASIWYFA","NEXT UP:  Animal Magic by Bonobo  I've listened to Black Sands the most, but I like Bonobo, very interesting stuff","2021-05-17T10:00:18.580396","","",""
"Animal Magic","Bonobo","Ahh Bonobo, I remember liking his album _Black Sands_ so much that I went out and got his discography as well. This album, for the most part, is much more chill than then black sands even is. Well I guess that isn't saying much when the second track on the album is called _Sleepy Seven_. But even the next track _Dinosaurs_ is rather chill as well. I don't know what it is about using those grainy-old samples but it always reminds me of a specific period between 1998-2010. What's really interesting about this album is that you can see the growth between this and Black Sands, well one would hope considiring that they are 10 years apart. _Terrapin_ has a really interesting sitar through line, that comes in just when you feel you might be drifting off the song. _Shadowtricks_ is another favorite off the album, it has this smoky jazz room feel, feels like I should be sipping a glass of whiskey, in my detectives office, in the rain. Overall this album is a great vibe, perfect for a rainy day.","3","3","2.8","\\OPENMEDIAVAULT\Media\Music\Bonobo\Animal Magic\Cover.jpg","I've listened to Black Sands the most, but I like Bonobo, very interesting stuff","NEXT UP:  Animal Rights by Moby  Dang what is this like the third Moby review?","2021-05-21T10:00:16.104805","","",""
"Animal Rights","Moby","Oh boy here we go, Moby round three. I think this is the last Moby album for a long time. This is album is quite a bit different from the albums I've listened to so far. This album is almost a punk rock album instead of an electronic one, although you can find electronic elements on this album for sure. The album ebbs and flows through the more punk-alternative viens and then comes back to blend it with more calm electronic track, that still carries the momentum. Some standout tracks for me are, _Come on Baby_ and _That's When I Reach for My Revolver_. You might notice that I'm rounding down here, Even though I do like this album quite a bit, I just don't think I can confidently say its a ""4"". The album starts on a really high note for me, but it just slips away towards the end. Overall I do really like this album, and it has defnitely given me a bigger appreciation for Moby as an artist, but it just has a few sticking points for me that keep it from going higher.","3","4","3","\\OPENMEDIAVAULT\Media\Music\Moby\Animal Rights\Cover.jpg","Dang what is this like the third Moby review?","NEXT UP:  Answer That and Stay Fashionable by AFI  I think this is really early AFI","2021-05-24T10:00:13.984336","","",""
"Answer That and Stay Fashionable","AFI","I don't have any experience with any AFI before _DECEMBERUNDERGROUND_, but I was intrigued to listen to some of the old catalogue though. I was not expecting straight up 80s-90s hardcore punk though, not that I'm complaining. Notable standouts for me are: _I Wanna Get a Mohawk_, _The Checkered Demon_, and _Don't Make Me Ill_. To be honest, with most hardcore punk, there isn't a ton to say that can't be said of one track. Overall I really like this album, just dumb fun.","4","4","4.2","\\OPENMEDIAVAULT\Media\Music\AFI\Answer That and Stay Fashionable\Cover.jpg","I think this is really early AFI","NEXT UP:  The Anti Mother by Norma Jean  Oof got this album becuase the cover looked cool, the first time I stepped into Hot Topic","2021-05-28T10:00:11.266092","","",""
"The Anti Mother","Norma Jean","I gotta say I was really nervous to come back to this album. Those fears were unfounded, this album fucking slaps, and hard too. I remember I first heard/got this album when I went into a Hot Topic buying clothes to go into freshman year of highschool. The album starts out a bit slower before building to it's full speed. The album does a really good job of setting this brooding soundscape. The real standouts on this album are _Robots 3 Humans 0_ and _Surrender Your Sons..._. I think this might be because they are a bit more melodic compared to the other tracks on the album. While I don't have much more to say, the album tends to feel really similiar all throughout, it does hold a special place in my heart. Overall a great listen, even ten years later.","4","4","4.1","\\OPENMEDIAVAULT\Media\Music\Norma Jean\The Anti Mother\Cover.jpg","Oof got this album becuase the cover looked cool, the first time I stepped into Hot Topic","NEXT UP:  Antichamber by Siddhartha Barnhoorn  This is the soundtrack to a fucking rad game, Antichamber","2021-05-31T10:00:07.091895","","","2021-05-22"
"Antichamber","Siddhartha Barnhoorn","While I think the music really works for the game, and is rather pleasent; in a vacuum it is nigh unlistenable. This is the second one star album though.","1","1","1","\\OPENMEDIAVAULT\Media\Music\Siddhartha Barnhoorn\Antichamber OST\Cover.png","This is the soundtrack to a fucking rad game, Antichamber","NEXT UP:  Antics by Interpol  The Second Interpol album, this is not the album with their best known track","2021-06-04T10:00:23.829136","","","2021-05-22"
"Antics","Interpol","Oh Interpol. Thanks to Rockband I started looking into them and found I band I really like. Interpol is definitely a product of the times, that almost nostalgic sound that a lot of the early 00's indie bands had. The standouts for me are _Evil_ and _NARC_. Both songs are a bit more upbeat, very dancable tracks, very fun. One of the issues I did have with this album is that some of the tracks start to blend together after a bit. Not quite as bad as the first Best Coast album, but still a bit noticable after a while. As a follow up to _Turn on the Bright Lights_ I think it's a bit weak, but Overall I do enjoy the album, just probably won't revisit it that often.","3","3","3.2","\\OPENMEDIAVAULT\Media\Music\Interpol\Antics\Cover.jpg","The Second Interpol album, this is not the album with their best known track","NEXT UP:  Anytime At All by Banyan  I think this might be more Janes Addiction, butt rock","2021-06-07T10:00:20.126436","","",""
"Anytime At All","Banyan","Now this album was a real surprise for me. I for whatever reason, after deciding to download all of the Janes Addiction albums, then went on to find all the bands the members were in. Why I did this I will never know. I think I listened to a few of the bands and didn't really like them, but then kept them in my library (again for some reason), and so I never got to Banyan. Well I fucked up this is some great jazz fusion. It's the kind of jazz fusion that you get ripped and then sit outside in the hot sun listening to them jam, kind of Fusion. Since it's a moistly lyricless album it's great to just put on when you want some background noise. _Justine_ has a really nice funky breakdown at the halfway mark. I've never really thought much about it, but it turns out I am a fan of rapping in my fusion, _Steel Head_ is another standout. I just love the guitar sound in it. It reminds me of some of the knuckle's tracks in Sonic Adventure 2 Battle. I think my favorite track on the album is _Keep the Change_, I'm a sucker for the sultry, vocal-fried female singing in these types of songs. Overall I think the album is worth a listen, if you like fusion, Definitely surprised me.","4","4","3.4","\\OPENMEDIAVAULT\Media\Music\Banyan\Anytime At All\Cover.jpg","I think this might be more Janes Addiction, butt rock","NEXT UP:  Ape Escape: Pumped & Primed by Soichi Terada  I've never played this game, but I know the music is supposed to be good","2021-06-11T10:00:22.780727","","",""
"Ape Escape: Pumped & Primed","Soichi Terada","I'll preface this with I have never played an Ape Escape game before. I've seen some gameplay of it, so I know what it's about. I will admit that I was bit daunted with the track listing, but it's not quite as bad as it looks, since the longest song is like two minutes and fifty seconds. _Prologue_ is definitely my favorite track. Gotta have all the spacy, airy, electronic music. I don't know what it is, that makes me love that type of sound so much, but I just can't ever get enough of it. _Stunclub_ is another really fun track on this album. It starts out very vibrant and bouncy, then kind of meshes in this meloncholy guitar riff, that you might find in a Drums song. I had a feeling this album was going to be good, but I think I was surprised by how much I actually ended up enjoying. Overall this album is worth the listen, give it a shot.","4","4","3.4","\\OPENMEDIAVAULT\Media\Music\Soichi Terada\Ape Escape - Pumped & Primed OST\Cover.jpg","I've never played this game, but I know the music is supposed to be good","NEXT UP:  Appleseed EP by Aesop Rock  I haven't listened to Aesop Rock in almost 10 years now","2021-06-14T10:20:44.674660","","",""
"Appleseed EP","Aesop Rock","Oh Aesop Rock, I saw them play at FYF in 2012, that was fun. I'm pretty picky when it comes to hip hop, and that holds true with Aesop as well. I think he has some of the best beats, but sometimes his voice just really throws me out of the music. _Dryspell_ is a good example of this. I really like the jazz backbeat but his rapping doesn't work, for me. I feel like I have to be in the right mood to listen to him. I'm always a sucker for a hip hop song with a sample in it. _Sick Friend_ got a bump in rating solely for that. I've been trying to think about why I like that so much and I can't come up with anything concrete. The beat on _1,000 Deaths_ is so good. I think it is easily my favorite track on the album. That saxophone that comes in on the chorus, just \* _Chef's kiss_ \*. Overall I think this Ep is pretty good, it feels rough compared to some of Aesop's other albums, but still good for what it is.","3","3","3.1","\\OPENMEDIAVAULT\Media\Music\Aesop Rock\Appleseed EP\Cover.jpg","I haven't listened to Aesop Rock in almost 10 years now","NEXT UP:  Aqua Teen Hunger Force Colon Movie Film for Theaters Colon the Soundtrack by Various Artists  I bought this album soley for the mastodon song","2021-06-18T16:08:27.432220","","",""
"Aqua Teen Hunger Force Colon Movie Film for Theaters Colon the Soundtrack","Various Artists","What an album/movie. I only bought the album because I wanted _Cut You Up With a Linoleum Knife_ by Mastodon. I did find some other songs on here that I like, but with most mid 00's soundtracks, the tracklisting is kind of all over the place. I've actually been pretty interested in rewatching the movie, as I haven't seen it since it came out. This album is loaded with a bunch of skits, that are really more annoying that anything. I'm of the opinion, that if you are going to do a skit, just do a skit and make it a atleast a minute, fifteen seconds is just not worth it. Maybe their intention was that it's so short there is no reason to skip it, but at least for me, I just find it annoying. Overall I think this album has some shining spots, but all the skits and random songs take a bit away for me. ","3","3","2.6","\\OPENMEDIAVAULT\Media\Music\Various Artists\Aqua Teen Hunger Force Colon Movie Film for Theaters Colon the Soundtrack\Cover.jpg","I bought this album soley for the mastodon song","NEXT UP:  Arabia Mountain by The Black Lips  Modern Art was the track that got me into The Black Lips","2021-06-21T10:01:25.396938","","",""
"Arabia Mountain","The Black Lips","We got another Black Lips album, right here. This is the album that introduced me to this band. _Modern Art_ specifically. This album marked a shift for the group towards a more surf rock sound, compared to their earlier garage rock aesthetic. While still having their garage roots, you can really hear the upgrade in production quality on this album. Most of the album is standout tracks, but _Modern Art_ is my favorite. Overall there isn't much to say, you kind of know exactly what you are getting with most of the tracks, but with an album like this that's kind of what you want anyway.","4","4","3.6","\\OPENMEDIAVAULT\Media\Music\Black Lips, The\Arabia Mountain\Cover.jpg","Modern Art was the track that got me into The Black Lips","NEXT UP:  Arcadepunk by Klippa  Wtf is melodic dubstep","2021-06-28T10:00:25.599123","","",""
"Arcadepunk","Klippa","This mini album was actually a bit of a surprise for me. I was not expecting to like it as much as I did. The sample work makes this feel glitchy in all the right places. _Scrapheap_ is just a touch to mellow for me, but other than that this entire album is pretty solid. _I'll wait_ uses a really gothic sounding keyboard that somehow feels right at home with the glitchy percussion. Overall this album is fifteen minutes long and definitely worth checking out.","4","4","3.8","\\OPENMEDIAVAULT\Media\Music\Klippa\Arcadepunk\Cover.jpg","Wtf is melodic dubstep","NEXT UP:  Are You Dead Yet? by Children Of Bodom  Let's see what Melodic Death Metal has in store for me....","2021-07-02T10:01:14.444225","","",""
"Are You Dead Yet?","Children Of Bodom","Anyone remember Valarie Alfaro? because she is the one who recomended me this album. I think the thing I find most surprising about it, is that I still like it all these years later. The album starts out on a really high note with _Living Dead Beat_. It has a really sick guitar solo that blends into a keyboard solo. That is something I find cool about this album. I was not expecting Keyboards in a Death Metal album. Despite what you all may think I don't actually listen to much metal that isn't also in some way progressive. So I think the most suprising thing to me about this album is just how melodic it actually is, sounds obvious with the genre being Melodic Death Metal, but considering some of the other death metal I have listened to, it suprised me. The titular track, _Are You Dead Yet?_ is a good example of this, it has a full on chorus that would feel welcome in any Avenged Sevenfold album. The guitar solo on _If You Want Peace... Prepare for War_ is fucking awesome, you should listen to this album solely for that. Overall this was such a surprising album, but I loved it for it. If you are even slightly tempted by anything I wrote, I think you should go for it, you might surprise yourself.","4","4","3.5","\\OPENMEDIAVAULT\Media\Music\Children Of Bodom\Are You Dead Yet\Cover.jpg","Let's see what Melodic Death Metal has in store for me....","NEXT UP:  Around the Fur by Deftones  Lmao I had this as a cd and I made my Mom listen to it for like 3 days straight when we drove to Tennessee one time.","2021-07-06T10:02:09.555595","","",""
"Around the Fur","Deftones","What a great album. I probably haven't listened to it in forever, but I still know most of the songs so well. This album is definitely aggro teenager music. The first track _My Own Summer..._ really sets that point, and sets it hard. While the album on the whole is pretty faced paced and aggressive, it has moments of calm, with almost ballad like qualities. Such as _Mascara_. The real standout track for me on this album is: _Be Quiet adn Drive (Far Away)_. This song is what plays in my head whenever someone says ""Deftones"". Overall I like this album quite a bit, mainly for nostalgia reasons, but even so it's still a fun time.","4","4","3.3","\\OPENMEDIAVAULT\Media\Music\Deftones\Around The Fur\Cover.jpg","Lmao I had this as a cd and I made my Mom listen to it for like 3 days straight when we drove to Tennessee one time.","NEXT UP:  The Art of Drowning by AFI  Need to make sure I get the rest of the tracks","2021-07-09T10:01:16.674924","","",""
"The Art of Drowning","AFI","Going into this album, I knew AFi had punk roots from doing the other album reviews. I also knew they had some goth/emo from the obvious Decemberunderground. It was pretty neat to see the shift forming with this album. I had ofcourse heard some of the singles off of this album before, but before this review process I had never listened to this album in it's entirety. The songs generally follow the same structrue, with hardcore punk drums and a chorus. Nothing special but also consistant throughout the album, so you really know what you are getting. There is some breaks to go into the more emo/goth-y sound that they are transitioning to. Overall it's a really solid album, a little repetitive but still a ton of fun all the way through.","4","4","3.4","\\OPENMEDIAVAULT\Media\Music\AFI\The Art of Drowning\Cover.jpg","Need to make sure I get the rest of the tracks","NEXT UP:  The Artist in the Ambulance by Thrice  Wooo this is THE Thrice album","2021-07-12T10:01:07.348119","","","2021-07-03"
"The Artist in the Ambulance","Thrice","I was really excited to get to this album. I used to have part of this album on an Alarm playlist that would wake me up before school. I distinctly remember that weird whining sound that starts off _All That's Left_ being the first thing I heard in the morning for quite a while. This album fits very well into that mid 2000's kind of post-hardcore, kind of emo. This album in particular gives me _Story of the Year_ vibes, although I am almost pretty positive that, that came after this album. Overall this was a great blast from the past, can't wait to put it on a more consistant rotation.","4","4","3.6","\\OPENMEDIAVAULT\Media\Music\Thrice\The Artist In The Ambulance\Cover.jpg","Wooo this is THE Thrice album","NEXT UP:  Artwork by The Used  I don't really remember this album, I listened to their earlier albums more","2021-07-16T10:02:22.553802","","",""
"Artwork","The Used","I remember this album kind of came out around the time I stopped listening to as much emo music. It also didn't help that compared to their earlier albums, this one is not quite as catchy. There are still a few standout tracks like _Blook on My Hands_ or _Empty with You_. In some places this album feels like a pop album, with some slight emo tendancies to it. Overall I think this album is ok. I much prefer their earlier work, but there is still some fun to be had here.","3","3","2.8","\\OPENMEDIAVAULT\Media\Music\Used, The\Artwork\Cover.jpg","I don't really remember this album, I listened to their earlier albums more","NEXT UP:  As Daylight Dies by Killswitch Engage  THIS IS MY CURSE!!!!!","2021-07-26T10:01:18.098220","","",""
"As Daylight Dies","Killswitch Engage","I always wanted to like Killswitch much more than I actually do like them. They have a really interesting mix of powerful vocals and growls (of which are more common to the genre). As you all might guess, _My Curse_ is the standout track on this album. Besides that track, everything else is fine. There's only a couple tracks that I outright dislike; _Holy Diver_ and _This Fire_. One of the reasons that I think Killswitch never fully sat with me is they feel a bit Hair Metal-y; they are definitely not hair metal, but inbetween the bits of metalcore I get that hair metal vibe. Overall I like the album, I don't think I'd really skip any track if it came on in a shuffle, but I'm going out of my way to listen to more of it.","3","3","3.1","\\OPENMEDIAVAULT\Media\Music\Killswitch Engage\As Daylight Dies\Cover.jpg","THIS IS MY CURSE!!!!!","NEXT UP:  Ascendancy by Trivium  While not quite as good as their next album Shogun, this is still pretty solid","2021-07-30T10:03:55.191511","","",""
"Ascendancy","Trivium","This album has a really interesting mix of goth, thrash, and metalcore. While I like their follow up album, _Shogun_, better this album is still a favorite of mine. Unlike the previous review; for _As Daylight Dies_, when I think of metalcore, this is much more what I think of. One of the things that really draws me to Trivium is their technical guitar work and solos. Even on tracks that I might not have liked as much, _Drowned and Torn Asunder_ for example, were almost bumped up to a four strictly for the solo. The solo on _Like Light to the Flies_ is a big standout, blending quite technical riffs for the majorit of the track, into a driving solo that brings everything back to the chorus. My favorite track on the album is _Dying in Your Arms_. Overall if you are a fan of early Metallica or metalcore in general I think you would also love this album.","4","4","3.7","\\OPENMEDIAVAULT\Media\Music\Trivium\Ascendancy\Cover.jpg","While not quite as good as their next album Shogun, this is still pretty solid","NEXT UP:  Astro Coast by Surfer Blood  This album is solid, I haven't listened to it in years","2021-08-02T10:01:06.493857","","",""
"Astro Coast","Surfer Blood","Now this album brings back some memories. I don't think I really got into surfer blood until around 2012, but this album was on repeat for me quite a bit at the time. The album is kind of a rocksteady take on surf rock, most songs are pretty laid back, but feature a nice groove that you can get into. The album is pretty strong all the way through, with _Twin Peaks_ being my favorite track, but kind of takes a small dip towards the end. It's not bad, just doesn't hit the highs that are set for most of the album. Overall I really like the album, it's got a few too many low points to make it really shine, but on the whole it is definitely an album I can listen to almost whenver I want to.","4","4","3.7","\\OPENMEDIAVAULT\Media\Music\Surfer Blood\Astro Coast\Cover.jpg","This album is solid, I haven't listened to it in years","NEXT UP:  Astro Lounge by Smash Mouth  SOME BODY, ONCE TOLD ME","2021-08-06T10:00:02.487304","","",""
